"","lifeexp","gdpcap","school","civlib","wartime"
"1",61.5,2951,2.394,6,0
"2",NA,662,NA,7,0.44
"3",49.4,1067,0.698,6.2,0
"4",58.3,2252,3.7,3,0
"5",46.4,516,NA,5.2,0
"6",47.9,510,NA,6,0.04
"7",55.1,1432,2.23,6.2,0
"8",NA,1205,NA,6.2,NA
"9",49.1,596,1.261,5.4,0
"10",44.5,383,NA,6.4,0.84
"11",NA,614,NA,4.8,NA
"12",57.7,2540,3.143,6.2,0
"13",59.6,1859,NA,5.2,0.08
"14",45.3,283,NA,7,1
"15",51.1,4070,NA,6,0
"16",42.4,616,0.837,3.4,0
"17",53.2,759,3.216,4.4,0
"18",NA,366,NA,6.6,NA
"19",38.7,616,0.56,6,0
"20",51.7,1499,NA,5,0
"21",57.1,772,3.093,4.6,0
"22",54.5,912,3.508,5,0
"23",53.7,805,1.845,5.6,0.04
"24",52.7,745,NA,5.8,0
"25",45.4,499,2.577,7,0
"26",46.3,515,0.819,6,0
"27",45.2,809,NA,6,0.44
"28",66.3,4136,4.59,2.6,0
"29",59.8,1889,NA,4.8,0.44
"30",47,697,1.077,6.8,0.32
"31",43.7,533,0.541,6,0
"32",50.1,860,NA,3.4,0.12
"33",47.6,731,0.836,6,0
"34",46.7,1109,2.393,4,0
"35",NA,3038,NA,6,NA
"36",40.3,852,1.721,5,0
"37",46.1,739,NA,7,1
"38",59.4,3354,4.955,6,0.44
"39",49,1027,0.909,5.4,0.08
"40",54.4,2158,3.772,5.2,0
"41",52.1,452,2.286,6,0.08
"42",52,609,2.132,6,0
"43",64.4,2704,2.478,5,0
"44",47.3,465,1.917,5,0.28
"45",51.5,422,2.243,6.6,0.04
"46",52.1,774,4.349,5.8,0
"47",57.3,1178,2.627,4.8,0.24
"48",NA,12343,NA,2,NA
"49",NA,6230,7.48,1.2,0
"50",76.2,15695,10.369,1,0
"51",73.4,3258,5.333,1,0
"52",NA,2440,NA,2,NA
"53",65.2,2076,4.177,2.6,0.04
"54",60.2,1727,3.574,4.8,0.36
"55",NA,1847,NA,4.8,NA
"56",60.8,2056,2.591,6,0.08
"57",53.9,860,1.621,6,0.2
"58",63.2,1303,3.561,3,0.08
"59",73.5,2128,4.162,3,0.04
"60",68.1,5289,4.418,4,0
"61",61.9,1611,3.776,5,0.24
"62",71.6,3371,6.3,4,0
"63",NA,2213,NA,2.2,NA
"64",NA,2295,NA,2,NA
"65",69.4,9642,6.503,2,0
"66",74.9,16559,11.787,1,0.32
"67",70.2,3887,6.676,4,0.36
"68",52.2,1688,4.285,3.8,0
"69",64.3,3951,3.486,3,0
"70",71.3,3238,6.45,5,0.04
"71",65,2893,4.533,3,0.32
"72",65,2885,5.584,2,0
"73",65.9,1230,5.109,4.4,0
"74",66.7,2258,4.704,5,0
"75",60.3,2481,5.786,3,0.04
"76",NA,3310,NA,5.6,0
"77",70.8,3730,6.454,4.4,0
"78",69.6,6037,5.368,2,0
"79",NA,NA,1.06,7,NA
"80",NA,9452,4.419,4.8,NA
"81",49.9,1116,1.974,4.4,0.04
"82",NA,561,2.019,6.4,0.04
"83",68.8,1811,NA,6,NA
"84",75.8,10653,7.511,NA,0
"85",56.7,899,3.046,3,0.04
"86",58.5,1626,3.75,5.2,0.04
"87",NA,4017,3.281,5.8,0.24
"88",63,3946,3.039,7,0.32
"89",75,7900,9.41,2,0.08
"90",77.3,12004,8.458,1,0
"91",65,2720,4.308,5.8,0.08
"92",68.7,4267,7.85,5.8,0
"93",72.3,11979,5.276,4,0
"94",68.9,4073,5.361,4.2,0
"95",49.9,870,0.858,4,0
"96",54.2,9049,NA,6,0
"97",55.5,1221,1.92,5,0.08
"98",62.8,1521,6.481,4.6,0.36
"99",62.4,8691,NA,6.4,0
"100",72.5,8153,4.553,5,0
"101",69.8,2152,5.371,3.4,0.04
"102",64,4075,3.987,6.6,0.08
"103",72.8,5786,6.999,5.2,0
"104",63.8,2422,5.081,4,0.04
"105",70.1,19627,NA,5,NA
"106",49.9,1267,0.812,5,0
"107",73.7,11172,6.642,1,0
"108",74.3,11324,9.152,1,0
"109",75.4,6442,7.128,2.2,0.2
"110",74.9,12884,10.331,1,0
"111",75,12128,9.491,2,0
"112",76.6,12186,6.523,2,0
"113",74.3,12543,8.544,2,0
"114",75.9,6184,6.727,2,0.08
"115",69.9,5309,10.745,5,NA
"116",NA,12085,7.889,1,0
"117",73.5,7215,8.008,1,0
"118",76.3,10895,6.276,1.8,0
"119",NA,13287,NA,1,0
"120",NA,5213,6.895,3.4,0
"121",76.5,11570,8.572,1,0
"122",76.5,14227,10.382,1,0
"123",71.2,4204,8.412,4.6,NA
"124",72.9,5026,3.827,2,0
"125",76.3,7547,5.585,2.4,0
"126",76.4,13313,9.447,1,0
"127",76.7,15209,9.088,1,0
"128",63.1,3059,3.294,5,0.08
"129",74.7,11137,8.648,1,0
"130",70.4,5250,7.164,5,NA
"131",75.8,13662,10.241,1,0
"132",69.8,3129,6.756,2,0
"133",74.4,11324,12.039,1,0
"134",53.2,1519,1.654,2,0
"135",NA,1517,NA,2.2,NA
"136",NA,1837,NA,3,NA
"137",NA,1694,NA,3.2,NA
"138",NA,1641,NA,3,NA
